区  县,级别,学  校  名  称,addresss,Latitude,Longitude,邮编,备   注
东城区,4,北京市翔宇中学,北京市东城区东直门北大街甲2号,39.94477,116.43399,100028,
东城区,4,北京市东城综合高中,北京市东城区地安门东大街127号,39.93425,116.39787,100009,
东城区,4,北京市第一中学,北京市东城区宝钞胡同甲12号,39.94466,116.39964,100009,
东城区,2,北京市第一六六中学,北京市东城区灯市东口同副福夹道3号,39.92692,116.43072,100006,
东城区,4,北京市国子监中学,北京市东城区国子监街26号,39.94533,116.41488,100007,
东城区,3,北京市第二十七中学,东城区东华门大街智德前巷11号,39.91526,116.40505,100006,
东城区,2,北京市第五十五中学,北京市东城区新中街12号,39.93655,116.44222,100027,
东城区,3,北京市第二十二中学,北京市东城区交道口东大街77号,39.94111,116.41424,100007,
东城区,3,北京宏志（第142）中学,北京市东城区和平里中街43号,39.95691,116.41124,100013,
东城区,3,北京市第二十五中学,东城区灯市口大街55号,39.91879,116.41351,100006,
东城区,3,北京市第二十四中学,北京东城区外交部街31号,39.91286,116.42344,100005,
东城区,4,北京市第一二五中学,北京市东城区崇内后沟胡同乙2号,39.90455,116.418637,100005,
东城区,1,北京市第五中学,北京市东城区细管胡同13号,39.93719,116.41504,100007,
东城区,1,北京市第二中学,北京市东城区内务部街15号,39.91923,116.42372,100010,
东城区,4,中央工艺美术学院附属中学,北京市东城区胡家园小区23号楼,39.94428,116.44371,100027,
东城区,4,北京市第一七七中学,东城区安定门外青年湖南街23号,39.95392,116.39728,100011,
东城区,4,北京市第一六五中学,北京市东城区育群胡同45号,39.9289,116.41187,100010,
东城区,3,北京市第六十五中学,北京市东城区北河沿大街115号,39.92128,116.40608,100006,
东城区,1,北京景山学校,东城区灯市口大街53号,39.91889,116.41504,100006,
东城区,2,北京市东直门中学,北京市东城区北顺城街2号,39.94481,116.43135,100007,
东城区,4,北京市第五十四中学,和平里六区九号,39.954742,116.424362,100013,
东城区,3,北京市第二十一中学,北京市东城区新中街头条1号,39.93483,116.44218,100007,
东城区,2,北京市第一七一中学,和平里北街8号,39.95917,116.42016,100013,
西城区,3,北京市第三十一中学,北京市西城区西绒线胡同33号,39.90437,116.38034,100031,
西城区,3,北京市二龙路中学,北京市西城区大木仓胡同39号,39.91165,116.37043,100032,
西城区,4,北京市第三十九中学,北京市西城区西黄城根北街6号,39.92621,116.37734,100034,
西城区,3,北京市第四十一中学,北京市西城区西四北二条58号,39.92626,116.36677,100034,
西城区,2,北京市第三十五中学,北京市西城区二龙路小口袋胡同19号,39.91092,116.36464,100032,
西城区,4,北京市鲁迅中学,北京市西城区新文化街45号,39.9041,116.37167,100031,
西城区,3,北京市第七中学,北京市西城区安德路69号,39.95144,116.38331,100011,
西城区,2,北京市第十三中学,北京市西城区柳荫街27号,39.93795,116.38457,100009,
西城区,3,北京市第四十四中学,北京市西城区三里河南横街1号,39.91189,116.34072,100045,
西城区,1,北京市第四中学,北京市西城区西黄城根北街甲2号,39.92761,116.37715,100034,
西城区,3,北京市第一五九中学,北京市西城区王府仓胡同23号,39.92268,116.3615,100034,
西城区,3,北京市第一五六中学,北京市西城区太平仓胡同16号,39.93137,116.3743,100034,
西城区,2,北京市第八中学,北京市西城区学院小街2号,39.922701,116.366355,100032,
西城区,3,北京市西城外国语学校,北京市西城区西外南路6号,39.93733,116.34457,100044,
西城区,1,北京师范大学第二附属中学,北京西城区新街口外大街12号,39.95817,116.37099,100088,
西城区,6,北京市新光中学,北京市海淀区玉泉路七号,39.9133796,116.2531573,100039,
西城区,6,北京市兴涛学校,北京市大兴区兴华大街北路十段,39.7426699,116.33176,102600,
西城区,4,北京市西城区实验学校,北京市西城区德外六铺炕一巷二号,39.95312,116.39017,100011,
西城区,,北京市私立汇才中学,北京市崇文区永外大街86号,39.86702,116.40045,100075,
西城区,4,北京市第二一四中学,北京市西城区月坛北街18号,39.91813,116.33754,100045,
西城区,4,北京市第一五四中学,北京市西城区百万庄南街14号,39.92453,116.33752,100037,
西城区,3,北京市第三中学,北京市西城区富国街3号,39.93133,116.36724,100034,
西城区,6,北京师范大学亚太实验学校,北京市昌平区东三旗,"40.088919270999504, 116.41510395845962",116.415104,102209,
西城区,1,北京师范大学附属实验中学,北京市西城区二龙路14号,39.9117297,116.3669633,100032,
西城区,4,北京教育学院西城分院附属中学,北京市西城区新街口大四条48号,39.942141,116.363658,100035,
西城区,3,北京市第五十六中学,北京市西城区文兴街3号,39.93591,116.33651,100044,
西城区,6,北京市西城区民族团结中学,北京市西城区安德路116号,39.95136,116.38729,100011,
西城区,2,北京市铁路第二中学,北京市西城区月坛西街5号,39.91637,116.34936,100045,
西城区,6,北京市育荣实验学校,北京市昌平区沙河镇七里渠南村531号,40.110097,116.319705,102206,
西城区,4,北京市月坛中学,北京市西城区南礼士路二条1号,39.91132,116.35103,100045,
西城区,1,北京市第一六一中学,北京市西城区西长安街1号,39.90793,116.38967,100031,
崇文区,5,北京市永定门学校,北京市崇文区天坛南里14号,39.88921,116.39912,100050,
崇文区,6,北京市第209中学,北京市崇文区忠实里东区9号楼,39.89735,116.44542,100022,
崇文区,4,北京市第一一四中学,北京市崇文区永外西革新里第114号,39.866079,116.39009,100077,
崇文区,4,北京市文汇中学,北京市崇文区忠实里东区9号楼,39.89735,116.44542,100022,
崇文区,3,北京市崇文区龙潭中学,北京市崇文区板厂南里3号,39.88478,116.44159,100061,
崇文区,2,北京市第十一中学,北京市崇文区金鱼池西区1号,39.89068,116.40708,100050,
崇文区,5,北京市第九十六中学,北京市崇文区崇文门西小街3号,39.90015,116.41599,100051,
崇文区,1,北京汇文中学,北京市崇文区培新街6号,39.89101,116.43219,100061,
崇文区,2,北京市第五十中学,北京市崇文区夕照寺大街13号,39.88968,116.439462,100061,
崇文区,3,北京市第一一五中学,北京市崇文区天坛东路13号,39.8804,116.41891,100061,
崇文区,4,北京市广渠门中学,北京市崇文区白桥大街甲1号,39.904211,116.407395,100062,
崇文区,6,北京市前门外国语学校,北京市崇文区前门东大街14号楼南侧,39.90024,116.40376,100051,
崇文区,4,北京市崇文门中学,北京市崇文区东花市北里西区5号,39.899389,116.432022,100062,
崇文区,3,北京市第一零九中学,北京市崇文区幸福大街43号,39.8935,116.42782,100061,
朝阳区,5,北京市大望路中学,北京市朝阳区西大望路下甸甲一号,39.89166,116.47747,100022,
朝阳区,5,北京市白家庄中学,北京市朝阳区白家庄2号,39.9287,116.4629,100022,
朝阳区,5,北京市黑庄户中学,北京市朝阳区黑庄户乡商业街,39.84826,116.31,100024,
朝阳区,3,北京市垂杨柳中学,北京市朝阳区松榆里20号楼,39.87158,116.46955,100021,
朝阳区,4,北京中医学院附属中学,北京市朝阳区和平街十五区1号院,39.96662,116.43106,100013,
朝阳区,4,北京市呼家楼中学,北京市朝阳区呼家楼西里南街2号,39.91986,116.46504,100026,
朝阳区,3,北京市第一一九中学,北京市朝阳区建外永安西里10号,39.90713,116.44726,100022,
朝阳区,2,北京市第九十四中学,北京市朝阳区花家地北里18-19楼,39.986402,116.465998,100102,
朝阳区,4,北京信息工程学院附属中学,北京市朝阳区德外南沙滩6号,39.9542,116.3798,100101,
朝阳区,5,北京市劲松第四中学,北京市朝阳区华威西里48楼,39.8641556,116.4563948,100021,
朝阳区,2,北京工业大学附属中学,北京市朝阳区垂杨柳中街甲一号,39.98724,116.46986,100022,
朝阳区,2,北京市三里屯一中,北京市朝阳区北三里屯,39.9372038,116.4480407,100027,
朝阳区,3,北京市新源里中学,北京市朝阳区新源街31号,39.895005,116.408582,100027,
朝阳区,3,北京市第十七中学,北京市朝阳区高碑店西洼甲1号,39.91172,116.52147,100022,
朝阳区,2,北京市和平街第一中学,北京市朝阳区和平街八区16楼,39.96653,116.41698,100013,
朝阳区,1,北京市第八十中学,北京市朝阳区望京科技园利泽中园,40.010682,116.472258,100102,
朝阳区,3,北京市日坛中学,北京市朝阳区光华西里4号,39.910178,116.451129,100020,
朝阳区,4,北京服装学院附属中学,北京市朝阳区静安里甲30号,39.867402,116.4882929,100028,
朝阳区,4,北京市同仁中学,北京市朝阳区甘露园南里一区十号,39.915629,116.510127,100025,
朝阳区,3,北京市第九十四中学机场分校,北京市朝阳区首都机场燕翔西里19号,40.047171,116.592659,100621,
朝阳区,6,北京市第九十七中学,北京市朝阳区黄杉木店206号,39.93103,116.53377,100025,
朝阳区,5,北京市民族学校,北京市朝阳区常营民族家园12号,39.867402,116.4882929,100024,
朝阳区,4,北京市酒仙桥第一中学,北京市朝阳区酒仙桥南路甲7号,39.96215,116.49428,100016,
朝阳区,5,北京市八里庄第三中学,北京市朝阳区八里庄北里203楼,39.928196,116.498474,100025,
朝阳区,3,北京化工大学附属中学,北京市朝阳区惠新里38楼,39.98116,116.41915,100029,
朝阳区,4,北京市劲松第一中学,北京市朝阳区劲松一区125号楼,39.8861,116.45775,100021,
朝阳区,3,中国旅游学院附属中学,北京市朝阳区东八里庄西里8号,39.906563,116.493942,100025,
朝阳区,4,北京市望京实验学校,北京市朝阳区望京西园三区313楼,40.000349,116.478473,100102,
朝阳区,6,北京市劲松第三中学,北京市朝阳区劲松四区406楼,39.883449,116.453613,100021,
朝阳区,4,北京市团结湖第三中学,北京市朝阳区水碓子东路14号,39.92463,116.47311,100026,
朝阳区,6,北京市第八十中学管庄分校,北京市朝阳区管庄西里,39.913273,116.587901,100024,
朝阳区,6,北京市北苑中学,北京市朝阳区安外北苑中学,40.027573,116.429943,100012,
朝阳区,4,首都师范大学附属实验学校,北京市朝阳区望京花园133号,40.004518,116.47443,100102,
朝阳区,4,北京市花家地西里中学,北京市朝阳区花家地西里一区105楼,39.989,116.460151,100102,
朝阳区,5,北京市东方德才学校,北京市朝阳区水碓子北里9号楼,39.9207964,116.4681187,100026,
朝阳区,3,北京市朝阳外国语学校,北京市朝阳区慧忠里232号,39.99956,116.40106,100101,
朝阳区,2,北京市陈经纶中学,北京市朝阳区朝外大街38号,39.92199,116.44751,100020,
朝阳区,4,北京市实验外国语学校,北京市朝阳区新源街41号,39.95011,116.45399,100027,
朝阳区,4,北京市双桥中学,北京市朝阳区双桥中路,39.89381,116.59271,100024,
朝阳区,4,北京市创新园中学,北京市朝阳区华严北里小区68号,39.982627,116.384448,100029,
朝阳区,4,北京市华严里中学,北京市朝阳区华严北里小区68号,39.982627,116.384448,100029,
朝阳区,4,教育科学研究院附属实验中学,北京市朝阳区望京西园四区428楼,39.995907,116.47377,100102,
朝阳区,6,北京市女子实验中学,北京市朝阳区劲松三区310楼,39.884146,116.458985,100021,
朝阳区,4,北京青年政治学院附属中学,北京市朝阳区大山子王爷坟,39.867402,116.4882929,100015,
朝阳区,4,北京市朝阳区爱迪外国语学校,北京市朝阳区楼梓庄路7号,39.97829,116.58242,100018,
朝阳区,4,北京市世青中学,北京市朝阳区亮马桥路40号,39.95214,116.47335,100016,
朝阳区,4,北京市垡头中学,北京市朝阳区垡头西里三区2号,39.86354,116.509986,100023,
朝阳区,5,北京市高家园中学,北京市朝阳区高家园小区210号,39.9712694,116.4898587,100015,
朝阳区,4,中国建筑材料科学研究院附中学,北京市朝阳区管庄东里建院附中,39.9152201,116.591266,100024,
海淀,3,北京航空航天大学附属中学,北京市海淀区学院路37号,39.98411,116.35319,100083,
海淀,1,北京市八一中学,北京市海淀区苏州街29号,39.97825,116.30566,100080,
海淀,1,北京市第一O一中学,北京市海淀区颐和园路11号,39.99761,116.30438,100091,
海淀,6,北京市第二O 六中学,北京市海淀区翠微路19号,39.90087,116.29996,100036,
海淀,2,北京市海淀实验中学,北京市海淀区白堆子131号,39.923924,116.325767,100037,
海淀,4,北京市建华实验学校,北京市海淀区北太平路22号,39.90008,116.28638,100039,
海淀,1,北京市十一学校,北京市海淀区北太平路22号,39.90008,116.28638,100039,
海淀,3,北京市玉渊潭中学,北京市海淀区羊坊店路皇亭子,39.903035,116.321591,100038,
海淀,4,北京市科迪实验中学,北京市海淀区苏家坨乡苏三四村,40.080269,116.164577,100095,
海淀,1,北京大学附属中学,北京市海淀区黄庄北大附中,39.9771738,116.3196941,100080,
海淀,4,北京市第一0五中学,北京市海淀区高粱桥斜街3号,39.951282,116.338249,100081,
海淀,6,北京理工大学附属中学分校,北京市海淀区紫竹院南路11号,39.9352,116.31959,100044,
海淀,3,北京农业大学附属中学,北京市海淀区圆明园西路3号,40.0235,116.27926,100094,
海淀,4,北京市陶行知中学,北京市海淀区马甸换新西村2号,39.9718327,116.3740336,100088,
海淀,4,北京市温泉第二中学,北京市海淀区温泉镇环山村2号院,40.033241,116.204136,100095,
海淀,4,北京市上地实验学校,北京市海淀区上地二街3号,40.0339699,116.30943,100085,
海淀,6,北京市上庄第二中学,北京市海淀区上庄镇东小营2号,40.0959,116.21537,100094,
海淀,3,北京石油学院附属中学,北京市海淀区学院路20号石油大院,39.99576,116.35346,100083,
海淀,2,首都师范大学附属中学,北京市海淀区北洼路33号,39.92986,116.30114,100037,
海淀,4,北京市第四十七中学,北京市海淀区苏家坨镇环谷园路8号,40.0663399,116.11733,100095,
海淀,3,北京市育英学校,北京市海淀区万寿路西街11号,39.91013,116.28951,100036,
海淀,3,北京市育英中学,北京市海淀区万寿路西街14号,39.90996,116.28611,100036,
海淀,5,北京市一佳高级中学,北京市海淀区双榆树东里35号,39.96877,116.32743,100086,
